country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Lao People's Dem. Rep.,Charcoal - Production,2014,"Metric tons,  thousand",22.886,,charcoal
Latvia,Charcoal - Production,2014,"Metric tons,  thousand",13,,charcoal
Lebanon,Charcoal - Production,2014,"Metric tons,  thousand",10,,charcoal
Lesotho,Charcoal - Production,2014,"Metric tons,  thousand",103.914,,charcoal
Liberia,Charcoal - Production,2014,"Metric tons,  thousand",271.529,,charcoal
Lithuania,Charcoal - Production,2014,"Metric tons,  thousand",1,,charcoal
Madagascar,Charcoal - Production,2014,"Metric tons,  thousand",1560.024,,charcoal
Malawi,Charcoal - Production,2014,"Metric tons,  thousand",539.628,,charcoal
Malaysia,Charcoal - Production,2014,"Metric tons,  thousand",29.1,,charcoal
Maldives,Charcoal - Production,2014,"Metric tons,  thousand",0.833,,charcoal
Mali,Charcoal - Production,2014,"Metric tons,  thousand",171,,charcoal
Martinique,Charcoal - Production,2014,"Metric tons,  thousand",1.79,,charcoal
Mauritania,Charcoal - Production,2014,"Metric tons,  thousand",206.3,,charcoal
Mauritius,Charcoal - Production,2014,"Metric tons,  thousand",0.6,,charcoal
Mexico,Charcoal - Production,2014,"Metric tons,  thousand",82,,charcoal
Micronesia (Fed. States of),Charcoal - Production,2014,"Metric tons,  thousand",0.36,,charcoal
Montenegro,Charcoal - Production,2014,"Metric tons,  thousand",0.67,1,charcoal
Morocco,Charcoal - Production,2014,"Metric tons,  thousand",112,,charcoal
Mozambique,Charcoal - Production,2014,"Metric tons,  thousand",715,,charcoal
Myanmar,Charcoal - Production,2014,"Metric tons,  thousand",28,,charcoal
Namibia,Charcoal - Production,2014,"Metric tons,  thousand",145,,charcoal
Nepal,Charcoal - Production,2014,"Metric tons,  thousand",82,,charcoal
Nicaragua,Charcoal - Production,2014,"Metric tons,  thousand",19,,charcoal
Niger,Charcoal - Production,2014,"Metric tons,  thousand",48.15,1,charcoal
Nigeria,Charcoal - Production,2014,"Metric tons,  thousand",3844,,charcoal
Niue,Charcoal - Production,2014,"Metric tons,  thousand",0.003,,charcoal
Oman,Charcoal - Production,2014,"Metric tons,  thousand",6.573,,charcoal
Pakistan,Charcoal - Production,2014,"Metric tons,  thousand",79.93,,charcoal
Panama,Charcoal - Production,2014,"Metric tons,  thousand",1.272,,charcoal
Papua New Guinea,Charcoal - Production,2014,"Metric tons,  thousand",6.5,,charcoal
Paraguay,Charcoal - Production,2014,"Metric tons,  thousand",453.61,,charcoal
Peru,Charcoal - Production,2014,"Metric tons,  thousand",62,,charcoal
Philippines,Charcoal - Production,2014,"Metric tons,  thousand",1854.4,,charcoal
Portugal,Charcoal - Production,2014,"Metric tons,  thousand",20,,charcoal
Qatar,Charcoal - Production,2014,"Metric tons,  thousand",0.77,,charcoal
Republic of Moldova,Charcoal - Production,2014,"Metric tons,  thousand",1,,charcoal
Réunion,Charcoal - Production,2014,"Metric tons,  thousand",14.71,,charcoal
Romania,Charcoal - Production,2014,"Metric tons,  thousand",16.5,,charcoal
Russian Federation,Charcoal - Production,2014,"Metric tons,  thousand",52.6,,charcoal
Rwanda,Charcoal - Production,2014,"Metric tons,  thousand",610,1,charcoal
Samoa,Charcoal - Production,2014,"Metric tons,  thousand",0.503,,charcoal
Sao Tome and Principe,Charcoal - Production,2014,"Metric tons,  thousand",9.2,,charcoal
Senegal,Charcoal - Production,2014,"Metric tons,  thousand",497,,charcoal
Serbia,Charcoal - Production,2014,"Metric tons,  thousand",12,,charcoal
Sierra Leone,Charcoal - Production,2014,"Metric tons,  thousand",421,,charcoal
Singapore,Charcoal - Production,2014,"Metric tons,  thousand",5,1,charcoal
Slovakia,Charcoal - Production,2014,"Metric tons,  thousand",0,,charcoal
Solomon Islands,Charcoal - Production,2014,"Metric tons,  thousand",1.379,,charcoal
Somalia,Charcoal - Production,2014,"Metric tons,  thousand",1136.087,,charcoal
South Africa,Charcoal - Production,2014,"Metric tons,  thousand",714.6,,charcoal
South Sudan,Charcoal - Production,2014,"Metric tons,  thousand",11,,charcoal
Spain,Charcoal - Production,2014,"Metric tons,  thousand",36,,charcoal
St. Kitts-Nevis,Charcoal - Production,2014,"Metric tons,  thousand",0.002,1,charcoal
St. Lucia,Charcoal - Production,2014,"Metric tons,  thousand",0.352,,charcoal
St. Vincent-Grenadines,Charcoal - Production,2014,"Metric tons,  thousand",0.366,,charcoal
Sudan,Charcoal - Production,2014,"Metric tons,  thousand",1596,,charcoal
Swaziland,Charcoal - Production,2014,"Metric tons,  thousand",47.36,,charcoal
Syrian Arab Republic,Charcoal - Production,2014,"Metric tons,  thousand",1,,charcoal
Thailand,Charcoal - Production,2014,"Metric tons,  thousand",4306,,charcoal
Togo,Charcoal - Production,2014,"Metric tons,  thousand",670,,charcoal
Tonga,Charcoal - Production,2014,"Metric tons,  thousand",0.254,,charcoal
Trinidad and Tobago,Charcoal - Production,2014,"Metric tons,  thousand",2,,charcoal
Tunisia,Charcoal - Production,2014,"Metric tons,  thousand",208,,charcoal
Turks and Caicos Islands,Charcoal - Production,2014,"Metric tons,  thousand",0.137,,charcoal
Uganda,Charcoal - Production,2014,"Metric tons,  thousand",1037.412,,charcoal
Ukraine,Charcoal - Production,2014,"Metric tons,  thousand",144,,charcoal
United Rep. of Tanzania,Charcoal - Production,2014,"Metric tons,  thousand",1937,,charcoal
United States of America,Charcoal - Production,2014,"Metric tons,  thousand",982,,charcoal
Vanuatu,Charcoal - Production,2014,"Metric tons,  thousand",0.578,,charcoal
Venezuela (Bolivar. Rep.),Charcoal - Production,2014,"Metric tons,  thousand",7,,charcoal
Viet Nam,Charcoal - Production,2014,"Metric tons,  thousand",608,,charcoal
Yemen,Charcoal - Production,2014,"Metric tons,  thousand",77,,charcoal
Zambia,Charcoal - Production,2014,"Metric tons,  thousand",1083,,charcoal
Zimbabwe,Charcoal - Production,2014,"Metric tons,  thousand",9,,charcoal
